,INSEE_COM,NOM_COMMUNE,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_COMMUN,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
130,29134,Locronan,1,0.0,0.0,100.0,100.0,100.0,100.0,0.0,1,0,1721.0,149.0,0.0,0,0,0,0,0,0,0,0
131,29135,Loctudy,46,0.0,4.0,17.0,48.0,67.0,74.0,26.0,65,16,53759.0,6354.0,0.0,0,0,0,0,0,0,0,0
132,29137,Logonna-Daoulas,1,0.0,0.0,0.0,100.0,100.0,100.0,0.0,1,0,13813.0,276.0,0.0,0,0,0,0,0,0,0,0
133,29140,Loperhet,41,0.0,20.0,22.0,93.0,98.0,98.0,2.0,39,2,90411.0,4469.0,2394.0,0,230,448,0,8,738,500,337
134,29143,Mahalon,20,0.0,25.0,55.0,90.0,90.0,90.0,10.0,20,0,14144.0,1835.0,0.0,0,0,0,0,0,0,0,0
135,29144,La Martyre,2,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0,65359.0,0.0,5590.0,0,0,0,0,5482,0,0,108
136,29145,Confort-Meilars,4,0.0,25.0,50.0,100.0,100.0,100.0,0.0,5,0,14196.0,391.0,1140.0,0,167,0,0,0,0,973,0
137,29146,Melgven,1,0.0,100.0,100.0,100.0,100.0,100.0,0.0,1,0,746.0,138.0,0.0,0,0,0,0,0,0,0,0
138,29148,Mespaul,2,0.0,50.0,100.0,100.0,100.0,100.0,0.0,0,0,235374.0,0.0,27397.0,0,0,0,0,0,27397,0,0
139,29150,Moëlan-sur-Mer,71,0.0,7.0,32.0,44.0,79.0,79.0,21.0,149,3,296575.0,13460.0,3192.0,0,0,0,0,0,3081,0,7
140,29151,Morlaix,36,0.0,25.0,47.0,83.0,92.0,92.0,8.0,27,1,315745.0,2994.0,16525.0,0,2348,0,0,10800,0,1625,1752
141,29153,Névez,22,0.0,27.0,50.0,59.0,64.0,68.0,32.0,24,1,41326.0,3241.0,406.0,0,0,0,203,0,0,0,0
142,29155,Ouessant,4,0.0,25.0,0.0,50.0,50.0,50.0,50.0,1,1,38464.0,94.0,335.0,0,0,189,0,0,0,50,96
