,SIREN_EPCI,NOM_EPCI,ANNEE,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
59,200065928,CA Lannion-Trégor Communauté,2017,94,0.0,72.0,87.0,90.0,93.0,7.0,104,3,138352.0,10746.0,5673.0,0,0,424,2861,0,272,266,1850
60,200065928,CA Lannion-Trégor Communauté,2018,75,0.0,79.0,89.0,96.0,96.0,4.0,85,2,60693.0,8925.0,3173.0,0,252,2157,368,0,0,215,0
61,200065928,CA Lannion-Trégor Communauté,2019,84,0.0,77.0,87.0,90.0,90.0,10.0,92,6,141920.0,9874.0,7069.0,0,0,0,238,0,6472,359,0
62,200065928,CA Lannion-Trégor Communauté,2020,65,0.0,69.0,85.0,94.0,94.0,6.0,66,2,48671.0,7203.0,1983.0,0,932,0,0,0,0,1051,0
63,200065928,CA Lannion-Trégor Communauté,2021,86,0.0,71.0,85.0,93.0,94.0,6.0,90,5,59367.0,8966.0,259.0,0,101,0,111,47,0,0,0
64,200065928,CA Lannion-Trégor Communauté,2022,33,0.0,76.0,79.0,85.0,88.0,12.0,30,3,147928.0,3319.0,770.0,0,71,0,0,292,0,407,0
65,200065928,CA Lannion-Trégor Communauté,2023,11,0.0,64.0,73.0,73.0,73.0,27.0,16,2,8295.0,1272.0,0.0,0,0,0,0,0,0,0,0
66,200065928,CA Lannion-Trégor Communauté,2024,19,0.0,58.0,63.0,68.0,68.0,32.0,33,3,39687.0,3138.0,1603.0,0,38,0,427,0,0,424,287
67,200066868,CC Presqu'île de Crozon-Aulne maritime,2020,9,0.0,44.0,67.0,78.0,78.0,22.0,8,1,169388.0,1144.0,99.0,0,0,0,0,0,99,0,0
68,200066868,CC Presqu'île de Crozon-Aulne maritime,2021,21,0.0,33.0,67.0,81.0,81.0,19.0,16,4,176911.0,1593.0,3327.0,0,50,0,0,0,3277,0,0
69,200066868,CC Presqu'île de Crozon-Aulne maritime,2022,11,0.0,45.0,55.0,64.0,64.0,36.0,11,3,55741.0,1330.0,473.0,0,0,0,0,0,57,0,416
70,200066868,CC Presqu'île de Crozon-Aulne maritime,2023,19,0.0,53.0,84.0,84.0,84.0,16.0,23,5,44392.0,2569.0,145.0,0,0,0,0,0,145,0,0
71,200066868,CC Presqu'île de Crozon-Aulne maritime,2024,8,0.0,62.0,62.0,75.0,88.0,12.0,5,1,35391.0,498.0,601.0,0,0,0,0,0,601,0,0
72,200066868,CC Presqu'île de Crozon-Aulne maritime,2013,15,0.0,73.0,87.0,87.0,87.0,13.0,11,1,33638.0,1277.0,3869.0,0,138,800,260,0,0,2525,146
73,200066868,CC Presqu'île de Crozon-Aulne maritime,2014,7,0.0,71.0,100.0,100.0,100.0,0.0,5,0,14775.0,565.0,664.0,0,0,0,0,0,664,0,0
74,200066868,CC Presqu'île de Crozon-Aulne maritime,2015,14,0.0,71.0,93.0,93.0,93.0,7.0,12,1,11710.0,1322.0,247.0,0,0,0,0,0,0,247,0
75,200066868,CC Presqu'île de Crozon-Aulne maritime,2016,12,0.0,33.0,58.0,58.0,58.0,42.0,9,4,132954.0,1048.0,1228.0,0,0,0,0,0,714,0,514
76,200066868,CC Presqu'île de Crozon-Aulne maritime,2017,23,0.0,65.0,83.0,87.0,87.0,13.0,20,0,127727.0,2229.0,2067.0,0,0,0,0,0,426,1641,0
77,200066868,CC Presqu'île de Crozon-Aulne maritime,2018,29,0.0,59.0,90.0,90.0,90.0,10.0,41,1,31192.0,4782.0,0.0,0,0,0,0,0,0,0,0
78,200066868,CC Presqu'île de Crozon-Aulne maritime,2019,31,0.0,65.0,77.0,84.0,84.0,16.0,42,3,42299.0,4058.0,3660.0,412,540,878,0,0,0,0,0
79,200066868,CC Presqu'île de Crozon-Aulne maritime,2020,25,0.0,56.0,88.0,96.0,96.0,4.0,23,1,39318.0,2658.0,2350.0,0,0,1465,0,0,0,885,0
80,200066868,CC Presqu'île de Crozon-Aulne maritime,2021,28,0.0,36.0,82.0,82.0,82.0,18.0,29,7,19520.0,2918.0,8.0,0,0,0,0,0,0,0,8
81,200066868,CC Presqu'île de Crozon-Aulne maritime,2022,13,0.0,31.0,92.0,92.0,100.0,0.0,13,2,8469.0,1394.0,0.0,0,0,0,0,0,0,0,0
82,200066868,CC Presqu'île de Crozon-Aulne maritime,2023,10,0.0,60.0,80.0,100.0,100.0,0.0,36,0,9846.0,2408.0,0.0,0,0,0,0,0,0,0,0
83,200066868,CC Presqu'île de Crozon-Aulne maritime,2024,3,0.0,67.0,100.0,100.0,100.0,0.0,3,1,1939.0,281.0,0.0,0,0,0,0,0,0,0,0
84,200067072,CC Haut-Léon Communauté,2020,18,0.0,72.0,78.0,83.0,83.0,17.0,9,4,263320.0,1264.0,42393.0,0,0,0,0,0,42393,0,0
85,200067072,CC Haut-Léon Communauté,2021,50,0.0,64.0,82.0,84.0,84.0,16.0,42,4,495056.0,5399.0,117692.0,0,41,0,258,0,117253,140,0
86,200067072,CC Haut-Léon Communauté,2022,44,0.0,45.0,73.0,82.0,84.0,16.0,56,10,100639.0,5470.0,1219.0,0,393,0,686,0,0,0,120
87,200067072,CC Haut-Léon Communauté,2023,68,0.0,62.0,81.0,82.0,84.0,16.0,79,7,183350.0,8272.0,32067.0,0,41,856,2546,0,27128,1161,335
88,200067072,CC Haut-Léon Communauté,2024,25,0.0,60.0,84.0,88.0,88.0,12.0,23,4,35258.0,3495.0,11258.0,0,0,0,222,0,0,0,11036
89,200067072,CC Haut-Léon Communauté,2013,23,0.0,65.0,96.0,100.0,100.0,0.0,20,2,39445.0,2495.0,10008.0,0,0,0,0,0,10008,0,0
90,200067072,CC Haut-Léon Communauté,2014,19,0.0,63.0,95.0,95.0,95.0,5.0,104,0,34358.0,6499.0,1582.0,0,330,0,550,0,702,0,0
91,200067072,CC Haut-Léon Communauté,2015,17,0.0,76.0,82.0,82.0,82.0,18.0,14,0,37578.0,1626.0,20191.0,0,248,0,0,0,18804,1139,0
92,200067072,CC Haut-Léon Communauté,2016,38,0.0,58.0,84.0,87.0,87.0,13.0,25,6,88456.0,3014.0,83689.0,0,0,0,0,0,82959,725,5
93,200067072,CC Haut-Léon Communauté,2017,58,0.0,67.0,91.0,93.0,93.0,7.0,50,2,158003.0,6081.0,41448.0,0,55,1153,0,0,40029,211,0
94,200067072,CC Haut-Léon Communauté,2018,46,0.0,67.0,98.0,98.0,98.0,2.0,42,2,61325.0,4684.0,18673.0,0,0,0,836,0,16819,780,238
95,200067072,CC Haut-Léon Communauté,2019,78,0.0,59.0,91.0,92.0,96.0,4.0,73,6,80999.0,7799.0,12962.0,0,166,0,0,0,12796,0,0
96,200067072,CC Haut-Léon Communauté,2020,91,0.0,69.0,90.0,92.0,93.0,7.0,105,4,256027.0,10571.0,71174.0,0,0,0,0,0,71174,0,0
97,200067072,CC Haut-Léon Communauté,2021,56,0.0,62.0,77.0,88.0,89.0,11.0,50,9,48283.0,5448.0,18796.0,0,51,0,0,0,18659,0,86
98,200067072,CC Haut-Léon Communauté,2022,27,0.0,74.0,89.0,96.0,96.0,4.0,25,3,24922.0,2674.0,2479.0,0,0,1650,0,0,0,829,0
99,200067072,CC Haut-Léon Communauté,2023,9,0.0,44.0,78.0,100.0,100.0,0.0,9,3,5549.0,986.0,0.0,0,0,0,0,0,0,0,0
100,200067072,CC Haut-Léon Communauté,2024,5,0.0,20.0,100.0,100.0,100.0,0.0,5,1,3583.0,707.0,0.0,0,0,0,0,0,0,0,0
101,200067247,CC Pleyben-Châteaulin-Porzay,2020,3,0.0,33.0,33.0,67.0,67.0,33.0,1,0,281285.0,154.0,196.0,0,0,0,0,8,188,0,0
102,200067247,CC Pleyben-Châteaulin-Porzay,2021,4,0.0,75.0,100.0,100.0,100.0,0.0,4,0,6930.0,338.0,0.0,0,0,0,0,0,0,0,0
103,200067247,CC Pleyben-Châteaulin-Porzay,2022,8,0.0,62.0,88.0,88.0,88.0,12.0,7,1,11779.0,693.0,141.0,0,42,0,0,0,0,99,0
104,200067247,CC Pleyben-Châteaulin-Porzay,2023,11,0.0,55.0,82.0,82.0,91.0,9.0,16,0,189494.0,1217.0,1110.0,0,0,251,0,0,608,0,0
105,200067247,CC Pleyben-Châteaulin-Porzay,2024,5,0.0,40.0,100.0,100.0,100.0,0.0,9,0,79670.0,930.0,1159.0,0,0,0,0,0,1159,0,0
106,200067247,CC Pleyben-Châteaulin-Porzay,2013,5,0.0,40.0,100.0,100.0,100.0,0.0,5,0,4808.0,771.0,0.0,0,0,0,0,0,0,0,0
107,200067247,CC Pleyben-Châteaulin-Porzay,2015,3,0.0,67.0,100.0,100.0,100.0,0.0,2,0,2202.0,218.0,85.0,0,10,37,0,0,0,38,0
108,200067247,CC Pleyben-Châteaulin-Porzay,2016,5,0.0,100.0,100.0,100.0,100.0,0.0,5,0,3342.0,534.0,0.0,0,0,0,0,0,0,0,0
109,200067247,CC Pleyben-Châteaulin-Porzay,2017,9,0.0,44.0,100.0,100.0,100.0,0.0,8,0,8191.0,873.0,111.0,0,0,0,0,0,0,111,0
110,200067247,CC Pleyben-Châteaulin-Porzay,2018,10,0.0,60.0,90.0,100.0,100.0,0.0,7,1,60605.0,885.0,3339.0,0,0,0,0,0,2925,0,414
111,200067247,CC Pleyben-Châteaulin-Porzay,2019,7,0.0,43.0,71.0,71.0,71.0,29.0,11,0,9697.0,2716.0,1920.0,960,0,0,0,0,0,0,0
