,INSEE_COM,NOM_COMMUNE,SIREN_EPCI,TacheUrb2014,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_COMMUN,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
54,22174,Pléboulle,200068989,extérieur,21,0.0,5.0,19.0,67.0,81.0,86.0,14.0,16,4,136306.0,1631.0,2240.0,0,0,0,0,0,2230,0,10
55,22174,Pléboulle,200068989,intérieur,22,5.0,23.0,27.0,77.0,77.0,91.0,9.0,17,1,71086.0,1913.0,1875.0,0,0,0,0,0,1255,0,620
56,22176,Plédran,200069409,extérieur,4,0.0,25.0,75.0,100.0,100.0,100.0,0.0,4,0,1705.0,525.0,0.0,0,0,0,0,0,0,0,0
57,22176,Plédran,200069409,intérieur,2,0.0,0.0,100.0,100.0,100.0,100.0,0.0,2,0,1936.0,228.0,0.0,0,0,0,0,0,0,0,0
58,22178,Pléhédel,200067981,extérieur,4,0.0,50.0,75.0,75.0,100.0,100.0,0.0,3,0,18144.0,343.0,3720.0,0,0,0,0,0,3720,0,0
59,22178,Pléhédel,200067981,intérieur,4,0.0,25.0,50.0,75.0,75.0,75.0,25.0,4,0,7678.0,474.0,0.0,0,0,0,0,0,0,0,0
60,22179,Fréhel,200068989,extérieur,127,5.0,4.0,6.0,57.0,75.0,80.0,20.0,117,27,206401.0,11940.0,2970.0,0,0,1567,0,523,578,0,302
61,22179,Fréhel,200068989,intérieur,76,4.0,1.0,7.0,49.0,62.0,66.0,34.0,87,17,197713.0,11422.0,2852.0,0,248,484,0,9,0,425,1382
62,22186,Pléneuf-Val-André,200069391,extérieur,191,5.0,28.0,51.0,71.0,85.0,89.0,11.0,242,8,193898.0,27398.0,1775.0,120,110,34,0,0,422,0,1026
63,22186,Pléneuf-Val-André,200069391,intérieur,276,5.0,32.0,49.0,68.0,82.0,84.0,16.0,581,15,357182.0,62210.0,16099.0,2199,494,2875,543,0,59,90,4896
64,22187,Plérin,200069409,extérieur,222,3.0,56.0,80.0,91.0,94.0,96.0,4.0,442,1,555033.0,43637.0,59610.0,3198,14315,1458,2675,0,713,4321,32863
